Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
14/03/2004,11.00.00,28.0,1445.0,109.0,1009.0,176.0,878.0,114.0,1696.0,1355.0,169.0,461.0,8789.0
14/03/2004,12.00.00,28.0,1416.0,107.0,1002.0,161.0,907.0,119.0,1677.0,1262.0,193.0,383.0,8474.0
14/03/2004,13.00.00,2.0,1281.0,75.0,880.0,113.0,1084.0,104.0,1525.0,980.0,212.0,314.0,7812.0
14/03/2004,14.00.00,18.0,1207.0,75.0,879.0,103.0,1104.0,102.0,1490.0,872.0,214.0,302.0,7616.0
14/03/2004,15.00.00,19.0,1258.0,82.0,906.0,112.0,1081.0,107.0,1511.0,900.0,219.0,290.0,7525.0
14/03/2004,16.00.00,3.0,1458.0,119.0,1045.0,170.0,974.0,129.0,1646.0,1099.0,222.0,284.0,7516.0
14/03/2004,17.00.00,29.0,1438.0,120.0,1051.0,180.0,943.0,128.0,1668.0,1206.0,213.0,308.0,7696.0
14/03/2004,18.00.00,25.0,1478.0,122.0,1055.0,160.0,929.0,121.0,1671.0,1262.0,197.0,367.0,8307.0
14/03/2004,19.00.00,46.0,1808.0,206.0,1312.0,261.0,753.0,157.0,1993.0,1698.0,184.0,417.0,8732.0
14/03/2004,20.00.00,59.0,1898.0,231.0,1381.0,325.0,681.0,173.0,2103.0,1905.0,176.0,461.0,9210.0
14/03/2004,21.00.00,34.0,1560.0,147.0,1140.0,217.0,784.0,146.0,1818.0,1648.0,167.0,496.0,9320.0
14/03/2004,22.00.00,21.0,1324.0,90.0,940.0,146.0,924.0,121.0,1587.0,1423.0,163.0,510.0,9341.0
14/03/2004,23.00.00,22.0,1349.0,88.0,933.0,152.0,933.0,119.0,1617.0,1349.0,147.0,559.0,9314.0
15/03/2004,00.00.00,18.0,1239.0,74.0,872.0,104.0,985.0,99.0,1547.0,1250.0,148.0,547.0,9164.0
15/03/2004,01.00.00,18.0,1239.0,69.0,853.0,106.0,1010.0,93.0,1543.0,1174.0,140.0,570.0,9094.0
15/03/2004,02.00.00,18.0,1224.0,70.0,855.0,108.0,998.0,88.0,1566.0,1149.0,134.0,613.0,9361.0
15/03/2004,03.00.00,11.0,1078.0,44.0,734.0,87.0,1128.0,79.5,1487.0,1021.0,126.0,635.0,9230.0
15/03/2004,04.00.00,6.0,1078.0,40.0,711.0,66.0,1150.0,71.0,1468.0,1013.0,123.0,654.0,9351.0
15/03/2004,05.00.00,1.0,1075.0,39.0,703.0,88.0,1156.0,74.0,1464.0,1010.0,119.0,674.0,9375.0
15/03/2004,06.00.00,14.0,1157.0,64.0,830.0,138.0,1030.0,80.0,1584.0,1083.0,114.0,705.0,9475.0
15/03/2004,07.00.00,22.0,1314.0,97.0,966.0,228.0,897.0,89.0,1710.0,1235.0,113.0,702.0,9401.0
15/03/2004,08.00.00,55.0,1797.0,259.0,1451.0,360.0,652.0,114.0,2323.0,1680.0,124.0,639.0,9170.0
15/03/2004,09.00.00,81.0,1961.0,367.0,1701.0,478.0,537.0,149.0,2665.0,2184.0,148.0,543.0,9076.0
15/03/2004,10.00.00,58.0,1771.0,266.0,1470.0,394.0,622.0,157.0,2262.0,1973.0,174.0,456.0,8993.0
15/03/2004,11.00.00,42.0,1564.0,201.0,1300.0,319.0,710.0,155.0,2029.0,1798.0,198.0,385.0,8801.0
15/03/2004,12.00.00,31.0,1430.0,141.0,1120.0,201.0,831.0,134.0,1783.0,1522.0,220.0,341.0,8904.0
15/03/2004,13.00.00,29.0,1417.0,149.0,1146.0,171.0,830.0,119.0,1831.0,1404.0,233.0,322.0,9096.0
15/03/2004,14.00.00,29.0,1400.0,154.0,1162.0,159.0,838.0,111.0,1829.0,1263.0,239.0,300.0,8757.0
15/03/2004,15.00.00,25.0,1317.0,121.0,1053.0,153.0,926.0,104.0,1707.0,1137.0,244.0,289.0,8736.0
15/03/2004,16.00.00,23.0,1318.0,115.0,1033.0,143.0,950.0,99.0,1675.0,1068.0,244.0,294.0,8848.0
15/03/2004,17.00.00,28.0,1445.0,148.0,1141.0,156.0,857.0,110.0,1824.0,1252.0,238.0,313.0,9137.0
15/03/2004,18.00.00,61.0,1917.0,321.0,1601.0,314.0,631.0,162.0,2447.0,1843.0,225.0,354.0,9547.0
15/03/2004,19.00.00,8.0,2040.0,392.0,1754.0,404.0,542.0,187.0,2679.0,2122.0,204.0,425.0,10086.0
15/03/2004,20.00.00,65.0,1895.0,310.0,1573.0,320.0,565.0,165.0,2443.0,1992.0,183.0,526.0,10945.0
15/03/2004,21.00.00,42.0,1595.0,199.0,1294.0,256.0,678.0,145.0,2058.0,1707.0,167.0,574.0,10786.0
15/03/2004,22.00.00,32.0,1439.0,153.0,1159.0,193.0,764.0,125.0,1856.0,1494.0,157.0,602.0,10654.0
15/03/2004,23.00.00,14.0,1142.0,69.0,852.0,89.0,1008.0,101.0,1547.0,1164.0,153.0,614.0,10580.0
16/03/2004,00.00.00,21.0,1304.0,111.0,1019.0,127.0,852.0,103.0,1731.0,1272.0,141.0,657.0,10494.0
16/03/2004,01.00.00,12.0,1074.0,54.0,784.0,79.0,1098.0,88.0,1483.0,1040.0,148.0,606.0,10148.0
16/03/2004,02.00.00,8.0,968.0,28.0,640.0,43.0,1320.0,61.0,1386.0,867.0,148.0,592.0,9879.0
16/03/2004,03.00.00,7.0,929.0,23.0,608.0,51.0,1376.0,60.0,1364.0,826.0,136.0,621.0,9636.0
16/03/2004,04.00.00,6.5,941.0,26.0,626.0,59.0,1316.0,59.0,1373.0,840.0,123.0,662.0,9450.0
16/03/2004,05.00.00,6.0,937.0,20.0,585.0,38.0,1412.0,52.0,1348.0,793.0,128.0,632.0,9283.0
16/03/2004,06.00.00,9.0,1017.0,35.0,681.0,82.0,1246.0,64.0,1418.0,870.0,112.0,685.0,9081.0
16/03/2004,07.00.00,13.0,1171.0,51.0,770.0,99.0,1162.0,70.0,1467.0,930.0,110.0,665.0,8705.0
16/03/2004,08.00.00,34.0,1541.0,162.0,1185.0,263.0,770.0,97.0,1889.0,1407.0,117.0,637.0,8719.0
16/03/2004,09.00.00,37.0,1539.0,197.0,1287.0,229.0,698.0,95.0,2055.0,1507.0,136.0,563.0,8743.0
16/03/2004,10.00.00,53.0,1735.0,251.0,1431.0,396.0,628.0,150.0,2211.0,1843.0,178.0,429.0,8672.0
16/03/2004,11.00.00,41.0,1571.0,200.0,1297.0,314.0,730.0,162.0,1973.0,1729.0,214.0,333.0,8417.0
16/03/2004,12.00.00,33.0,1452.0,183.0,1250.0,217.0,776.0,154.0,1868.0,1583.0,244.0,274.0,8231.0
16/03/2004,13.00.00,4.0,1579.0,223.0,1359.0,252.0,724.0,161.0,1998.0,1671.0,253.0,261.0,8264.0
16/03/2004,14.00.00,38.0,1466.0,204.0,1309.0,263.0,773.0,161.0,1897.0,1491.0,258.0,232.0,7589.0
16/03/2004,15.00.00,28.0,1280.0,146.0,1136.0,180.0,893.0,128.0,1675.0,1240.0,270.0,202.0,7094.0
16/03/2004,16.00.00,29.0,1407.0,166.0,1197.0,184.0,905.0,129.0,1759.0,1313.0,282.0,186.0,7014.0
16/03/2004,17.00.00,29.0,1389.0,158.0,1173.0,190.0,898.0,133.0,1739.0,1363.0,280.0,191.0,7098.0
16/03/2004,18.00.00,34.0,1447.0,178.0,1235.0,184.0,859.0,139.0,1778.0,1296.0,239.0,257.0,7519.0
16/03/2004,19.00.00,39.0,1551.0,191.0,1271.0,181.0,800.0,137.0,1875.0,1432.0,213.0,348.0,8730.0
16/03/2004,20.00.00,32.0,1474.0,158.0,1173.0,166.0,854.0,143.0,1776.0,1432.0,204.0,367.0,8704.0
16/03/2004,21.00.00,51.0,1800.0,249.0,1426.0,317.0,700.0,177.0,2106.0,2034.0,190.0,413.0,9007.0
16/03/2004,22.00.00,26.0,1379.0,135.0,1101.0,184.0,818.0,138.0,1710.0,1602.0,179.0,459.0,9342.0
16/03/2004,23.00.00,17.0,1201.0,91.0,943.0,130.0,935.0,117.0,1560.0,1362.0,167.0,489.0,9226.0
17/03/2004,00.00.00,17.0,1205.0,86.0,925.0,132.0,922.0,107.0,1547.0,1314.0,155.0,529.0,9271.0
17/03/2004,01.00.00,12.0,1072.0,54.0,784.0,95.0,1066.0,90.0,1442.0,1114.0,155.0,519.0,9059.0
17/03/2004,02.00.00,9.0,998.0,41.0,714.0,70.0,1169.0,79.0,1383.0,992.0,141.0,556.0,8910.0
17/03/2004,03.00.00,7.0,933.0,26.0,625.0,62.0,1292.0,69.5,1332.0,884.0,131.0,579.0,8666.0
17/03/2004,04.00.00,6.0,883.0,19.0,577.0,54.0,1396.0,60.0,1303.0,808.0,127.0,579.0,8447.0
17/03/2004,05.00.00,5.0,869.0,16.0,554.0,28.0,1460.0,40.0,1268.0,667.0,118.0,580.0,8026.0
17/03/2004,06.00.00,5.0,891.0,19.0,576.0,46.0,1417.0,53.0,1289.0,733.0,119.0,574.0,7978.0
17/03/2004,07.00.00,16.0,1173.0,75.0,878.0,160.0,1038.0,84.0,1556.0,1052.0,99.0,652.0,7956.0
17/03/2004,08.00.00,41.0,1587.0,214.0,1334.0,320.0,702.0,108.0,1999.0,1534.0,111.0,602.0,7958.0
17/03/2004,09.00.00,66.0,1852.0,364.0,1696.0,377.0,553.0,127.0,2535.0,1931.0,141.0,500.0,8020.0
17/03/2004,10.00.00,43.0,1522.0,213.0,1331.0,280.0,703.0,134.0,2026.0,1734.0,177.0,401.0,8048.0
17/03/2004,11.00.00,29.0,1438.0,154.0,1161.0,221.0,819.0,135.0,1782.0,1595.0,211.0,334.0,8265.0
17/03/2004,12.00.00,25.0,1393.0,125.0,1067.0,210.0,905.0,142.0,1654.0,1490.0,243.0,283.0,8471.0
17/03/2004,13.00.00,28.0,1452.0,151.0,1152.0,204.0,861.0,153.0,1747.0,1508.0,256.0,256.0,8254.0
17/03/2004,14.00.00,26.0,1389.0,137.0,1108.0,161.0,887.0,123.0,1712.0,1334.0,259.0,259.0,8503.0
17/03/2004,15.00.00,2.0,1207.0,104.0,994.0,135.0,1013.0,104.0,1520.0,1045.0,268.0,187.0,6500.0
17/03/2004,16.00.00,29.0,1365.0,152.0,1154.0,186.0,940.0,129.0,1679.0,1221.0,293.0,158.0,6309.0
17/03/2004,17.00.00,25.0,1247.0,123.0,1060.0,147.0,1032.0,114.0,1525.0,1069.0,285.0,149.0,5708.0
17/03/2004,18.00.00,5.0,1557.0,270.0,1478.0,299.0,793.0,158.0,1981.0,1569.0,259.0,160.0,5237.0
17/03/2004,19.00.00,76.0,1973.0,384.0,1737.0,411.0,617.0,194.0,2414.0,2306.0,231.0,265.0,7403.0
17/03/2004,20.00.00,67.0,1975.0,351.0,1667.0,347.0,597.0,182.0,2416.0,2359.0,205.0,382.0,9133.0
17/03/2004,21.00.00,57.0,1795.0,272.0,1485.0,336.0,653.0,180.0,2174.0,2050.0,191.0,426.0,9294.0
17/03/2004,22.00.00,28.0,1444.0,150.0,1150.0,202.0,770.0,136.0,1727.0,1727.0,172.0,441.0,8558.0
17/03/2004,23.00.00,26.0,1488.0,157.0,1171.0,178.0,731.0,127.0,1778.0,1705.0,160.0,509.0,9206.0
18/03/2004,00.00.00,23.0,1371.0,130.0,1083.0,154.0,796.0,116.0,1669.0,1551.0,148.0,539.0,9024.0
18/03/2004,01.00.00,14.0,1161.0,81.0,904.0,92.0,947.0,107.0,1502.0,1240.0,143.0,554.0,8975.0
18/03/2004,02.00.00,1.0,1064.0,55.0,787.0,61.0,1057.0,88.0,1407.0,1115.0,148.0,521.0,8686.0
18/03/2004,03.00.00,7.0,970.0,36.0,687.0,60.5,1196.0,83.0,1351.0,969.0,139.0,539.0,8501.0
18/03/2004,04.00.00,6.5,954.0,29.0,645.0,60.0,1260.0,78.0,1334.0,925.0,116.0,619.0,8442.0
18/03/2004,05.00.00,6.0,931.0,25.0,623.0,37.0,1293.0,57.0,1307.0,828.0,120.0,589.0,8233.0
18/03/2004,06.00.00,7.0,938.0,30.0,650.0,68.0,1251.0,71.0,1333.0,893.0,109.0,621.0,8113.0
18/03/2004,07.00.00,15.0,1166.0,77.0,885.0,139.0,1005.0,85.0,1551.0,1075.0,106.0,633.0,8067.0
18/03/2004,08.00.00,47.0,1643.0,233.0,1384.0,339.0,667.0,124.0,2094.0,1610.0,115.0,600.0,8117.0
18/03/2004,09.00.00,66.0,1934.0,358.0,1682.0,421.0,541.0,151.0,2468.0,2051.0,143.0,506.0,8186.0
18/03/2004,10.00.00,45.0,1617.0,213.0,1333.0,349.0,686.0,150.0,2010.0,1819.0,178.0,405.0,8210.0
18/03/2004,11.00.00,28.0,1473.0,143.0,1127.0,224.0,831.0,152.0,1752.0,1568.0,208.0,344.0,8365.0
18/03/2004,12.00.00,22.0,1379.0,125.0,1068.0,171.0,899.0,139.0,1663.0,1374.0,238.0,282.0,8219.0
18/03/2004,13.00.00,22.0,1385.0,122.0,1056.0,149.0,891.0,133.0,1648.0,1268.0,242.0,287.0,8515.0
18/03/2004,14.00.00,23.0,1379.0,131.0,1087.0,137.0,901.0,126.0,1660.0,1144.0,252.0,249.0,7829.0
18/03/2004,15.00.00,22.0,1322.0,144.0,1129.0,149.0,934.0,128.0,1639.0,1109.0,270.0,178.0,6275.0
18/03/2004,16.00.00,28.0,1496.0,168.0,1205.0,172.0,822.0,169.0,1767.0,1347.0,271.0,231.0,8180.0
18/03/2004,17.00.00,27.0,1409.0,145.0,1131.0,166.0,873.0,149.0,1689.0,1206.0,258.0,239.0,7832.0
18/03/2004,18.00.00,37.0,1513.0,215.0,1338.0,214.0,764.0,156.0,1957.0,1397.0,230.0,268.0,7446.0
18/03/2004,19.00.00,51.0,1667.0,264.0,1464.0,280.0,683.0,168.0,2118.0,1588.0,207.0,311.0,7523.0
18/03/2004,20.00.00,51.0,1667.0,260.0,1453.0,276.0,684.0,176.0,2051.0,1569.0,186.0,362.0,7676.0
18/03/2004,21.00.00,32.0,1430.0,141.0,1121.0,178.0,814.0,135.0,1732.0,1322.0,160.0,484.0,8768.0
18/03/2004,22.00.00,21.0,1333.0,103.0,989.0,129.0,885.0,121.0,1621.0,1194.0,145.0,578.0,9456.0
18/03/2004,23.00.00,17.0,1262.0,83.0,911.0,95.0,948.0,99.0,1545.0,1062.0,131.0,642.0,9606.0
19/03/2004,00.00.00,2.0,1287.0,89.0,936.0,126.0,918.0,106.0,1606.0,1040.0,120.0,697.0,9735.0
19/03/2004,01.00.00,16.0,1134.0,66.0,840.0,103.0,1021.0,96.0,1501.0,917.0,119.0,711.0,9915.0
19/03/2004,02.00.00,9.0,999.0,36.0,688.0,48.0,1229.0,63.0,1380.0,594.0,125.0,693.0,10029.0
19/03/2004,03.00.00,7.0,961.0,25.0,622.0,34.0,1382.0,47.5,1301.0,430.0,125.0,675.0,9768.0
19/03/2004,04.00.00,6.0,934.0,18.0,569.0,20.0,1440.0,32.0,1280.0,397.0,123.0,677.0,9665.0
19/03/2004,05.00.00,5.0,913.0,13.0,525.0,18.0,1620.0,28.0,1260.0,370.0,125.0,668.0,9620.0
19/03/2004,06.00.00,7.0,969.0,23.0,607.0,56.0,1373.0,61.0,1324.0,438.0,123.0,663.0,9487.0
19/03/2004,07.00.00,15.0,1182.0,67.0,845.0,115.0,1054.0,99.0,1539.0,704.0,124.0,649.0,9332.0
19/03/2004,08.00.00,48.0,1740.0,228.0,1372.0,320.0,671.0,157.0,2144.0,1476.0,130.0,616.0,9209.0
19/03/2004,09.00.00,62.0,1819.0,313.0,1582.0,357.0,575.0,166.0,2456.0,1716.0,136.0,588.0,9120.0
19/03/2004,10.00.00,4.0,1427.0,192.0,1275.0,253.0,701.0,149.0,1980.0,1398.0,139.0,571.0,9032.0
19/03/2004,11.00.00,33.0,1390.0,164.0,1191.0,218.0,759.0,135.0,1879.0,1268.0,145.0,544.0,8917.0
